question_index,question_id,gold_answer,all_hot_extracted_answer,mixed_extracted_answer,all_hot_extraction_success,mixed_extraction_success,all_hot_exact_match,mixed_exact_match,all_hot_generated_token_count,mixed_generated_token_count,token_sequences_identical,extracted_answers_identical,correctness_category,batch_number,start_index,all_hot_execution_status,mixed_execution_status,all_hot_answer_outcome,mixed_answer_outcome,batch
0,gsm8k-0000,18,18,18,True,True,True,True,128,152,False,True,both_correct,1,0,completed,completed,exact_match,exact_match,batch_01_start_000
1,gsm8k-0001,3,3,3,True,True,True,True,55,55,True,True,both_correct,1,0,completed,completed,exact_match,exact_match,batch_01_start_000
2,gsm8k-0002,70000,120000,120000,True,True,False,False,175,175,True,True,both_incorrect,1,0,completed,completed,incorrect,incorrect,batch_01_start_000
3,gsm8k-0003,540,180,180,True,True,False,False,53,53,True,True,both_incorrect,1,0,completed,completed,incorrect,incorrect,batch_01_start_000
4,gsm8k-0004,20,60,60,True,True,False,False,81,80,False,True,both_incorrect,1,0,completed,completed,incorrect,incorrect,batch_01_start_000
5,gsm8k-0005,64,,,False,False,False,False,512,512,True,False,both_extraction_failure,2,5,completed,completed,extraction_failure,extraction_failure,batch_02_start_005
6,gsm8k-0006,260,260,260,True,True,True,True,173,173,True,True,both_correct,2,5,completed,completed,exact_match,exact_match,batch_02_start_005
7,gsm8k-0007,160,20,80,True,True,False,False,59,88,False,False,both_incorrect,2,5,completed,completed,incorrect,incorrect,batch_02_start_005
8,gsm8k-0008,45,55,250,True,True,False,False,237,256,False,False,both_incorrect,2,5,completed,completed,incorrect,incorrect,batch_02_start_005
9,gsm8k-0009,460,450,450,True,True,False,False,98,98,True,True,both_incorrect,2,5,completed,completed,incorrect,incorrect,batch_02_start_005
10,gsm8k-0010,366,366,366,True,True,True,True,200,200,False,True,both_correct,3,10,completed,completed,exact_match,exact_match,batch_03_start_010
11,gsm8k-0011,694,694,694,True,True,True,True,113,113,True,True,both_correct,3,10,completed,completed,exact_match,exact_match,batch_03_start_010
12,gsm8k-0012,13,1,1,True,True,False,False,186,147,False,True,both_incorrect,3,10,completed,completed,incorrect,incorrect,batch_03_start_010
